Date,AE_0,AE_1,AE_2
2015-10-15,0.43032515,0.3538114,0.5340593
2015-10-16,0.48242953,0.3622173,0.5442661
2015-10-19,0.46368742,0.33909136,0.5060587
2015-10-20,0.48009315,0.3814043,0.5761301
2015-10-21,0.51421005,0.3714921,0.5573132
2015-10-22,0.4468067,0.3499473,0.52616626
2015-10-23,0.4492116,0.34228417,0.51274437
2015-10-26,0.49145177,0.3819631,0.5761802
2015-10-27,0.5024041,0.36947832,0.5548737
2015-10-28,0.45614356,0.3737767,0.5654948
2015-10-29,0.46715936,0.3382223,0.50427115
2015-10-30,0.48983616,0.39778984,0.6015212
2015-11-02,0.43589413,0.3444208,0.51748943
2015-11-03,0.46400002,0.36002046,0.5419793
2015-11-04,0.4975994,0.35998094,0.5393371
2015-11-05,0.47411576,0.3525293,0.52847797
2015-11-06,0.47115397,0.33446935,0.49738058
2015-11-09,0.49791494,0.36456227,0.547018
2015-11-10,0.46559477,0.35806385,0.5385499
2015-11-11,0.48580146,0.3809297,0.5749303
2015-11-12,0.51329523,0.3801809,0.5716409
2015-11-13,0.49642432,0.36915407,0.5547903
2015-11-16,0.45841336,0.3624396,0.54648095
2015-11-17,0.475047,0.35557795,0.53360474
2015-11-18,0.437535,0.34818047,0.52385175
2015-11-19,0.48468554,0.39616325,0.5993495
2015-11-20,0.47359595,0.3601779,0.541508
2015-11-23,0.46826187,0.3515828,0.52730966
2015-11-24,0.47061014,0.38061664,0.5755681
2015-11-25,0.4682372,0.36713868,0.55358714
2015-11-26,0.48155868,0.3729261,0.56216115
2015-11-27,0.47557142,0.35041416,0.52474356
2015-11-30,0.49884063,0.38560584,0.5815052
2015-12-01,0.45173573,0.37439898,0.5668533
2015-12-02,0.50426257,0.36940506,0.55461067
2015-12-03,0.5381813,0.42812136,0.6440263
2015-12-04,0.447849,0.38755405,0.5884565
2015-12-07,0.5036484,0.3490771,0.5202871
2015-12-08,0.51145935,0.37185276,0.55811894
2015-12-09,0.5041292,0.39551544,0.5968897
2015-12-10,0.46838188,0.3620834,0.54511696
2015-12-11,0.5406957,0.3826825,0.5736315
2015-12-14,0.48307717,0.37179726,0.5601832
2015-12-15,0.44717646,0.34330297,0.51467174
2015-12-16,0.43898976,0.3662674,0.5543819
2015-12-17,0.5030797,0.34472165,0.51281327
2015-12-18,0.52056247,0.4126316,0.62217134
2015-12-21,0.481061,0.38694164,0.584982
2015-12-22,0.4408854,0.3532885,0.5323441
2015-12-23,0.43443537,0.35477835,0.5353851
2015-12-24,0.48991254,0.38756374,0.585316
2015-12-25,0.4808926,0.3709562,0.55895907
2015-12-28,0.48323947,0.35007584,0.5235727
2015-12-29,0.449178,0.3671779,0.55511314
2015-12-30,0.4969557,0.37377092,0.5623848
2015-12-31,0.5085091,0.37913612,0.5703006
2016-01-01,0.47916263,0.37168,0.5602872
2016-01-04,0.51253635,0.35165584,0.5240302
2016-01-05,0.4784289,0.3662504,0.55132765
2016-01-06,0.5296334,0.38604087,0.57989275
2016-01-07,0.54983765,0.40103608,0.6021573
2016-01-08,0.5024696,0.3743874,0.5629813
2016-01-11,0.46667695,0.3492464,0.5234241
2016-01-12,0.47950476,0.36333364,0.5463648
2016-01-13,0.5440842,0.4051611,0.6089965
2016-01-14,0.44615394,0.3506427,0.52740973
2016-01-15,0.56239974,0.40136236,0.6017276
2016-01-18,0.4772147,0.3644167,0.54835516
2016-01-19,0.48544925,0.3845763,0.5808525
2016-01-20,0.5062523,0.3823779,0.5757384
2016-01-21,0.4489049,0.37214336,0.5633593
2016-01-22,0.41659895,0.3604893,0.54644704
2016-01-25,0.53651094,0.38677785,0.58055985
2016-01-26,0.434242,0.3810463,0.57902473
2016-01-27,0.48602912,0.37374458,0.56316996
2016-01-28,0.458133,0.3641518,0.5493736
2016-01-29,0.4345242,0.35556853,0.5367217
2016-02-01,0.47055164,0.38048473,0.5753584
2016-02-02,0.5489658,0.39309472,0.5897153
2016-02-03,0.45758468,0.4095139,0.622
2016-02-04,0.48138273,0.3930047,0.5946132
2016-02-05,0.5286636,0.3647684,0.54501265
2016-02-08,0.54620284,0.41141948,0.6184569
2016-02-09,0.49244004,0.38737065,0.58481765
2016-02-10,0.4421517,0.34266248,0.51395154
2016-02-11,0.5903344,0.44341156,0.6623796
2016-02-12,0.42053634,0.35127074,0.5304879
2016-02-15,0.47433227,0.37094802,0.55944467
2016-02-16,0.41333866,0.3328064,0.49897096
2016-02-17,0.42503846,0.3658064,0.5546953
2016-02-18,0.48592663,0.3719908,0.5602864
2016-02-19,0.49037048,0.37537363,0.56551814
2016-02-22,0.43087053,0.3514563,0.5299945
2016-02-23,0.50972325,0.37612784,0.56529015
2016-02-24,0.46920565,0.37249,0.56238127
2016-02-25,0.43484703,0.35683438,0.5388452
2016-02-26,0.4644894,0.34582952,0.51770407
2016-02-29,0.4966844,0.3838548,0.5788456
2016-03-01,0.4168558,0.35253894,0.532946
2016-03-02,0.46049377,0.38291407,0.58005035
2016-03-03,0.46476373,0.39371628,0.5969745
2016-03-04,0.47438344,0.40839523,0.6190691
2016-03-07,0.45991153,0.36182433,0.54533184
2016-03-08,0.53076696,0.37884936,0.5681485
2016-03-09,0.45386624,0.36984277,0.5591778
2016-03-10,0.49537787,0.3897276,0.5883654
2016-03-11,0.42822084,0.3734236,0.56705654
2016-03-14,0.47717822,0.3577642,0.53715235
2016-03-15,0.49315158,0.35405257,0.5296163
2016-03-16,0.4318135,0.36558378,0.5537975
2016-03-17,0.46897206,0.4416193,0.66824335
2016-03-18,0.4637423,0.35562995,0.5345631
2016-03-21,0.4826433,0.36448222,0.54805005
2016-03-22,0.4778519,0.3729838,0.56253785
2016-03-23,0.5070456,0.34211686,0.50798756
2016-03-24,0.49488392,0.36895487,0.5545767
2016-03-25,0.48174515,0.3709996,0.5589659
2016-03-28,0.46548486,0.3786144,0.5727006
2016-03-29,0.43260205,0.3671774,0.5563911
2016-03-30,0.4648551,0.3834932,0.58065575
